(0, 1)
(4, 7)
(4, 3)
(9, 2)
(0, 5)
(1, 6)
(8, 6)
(7, 0)
(4, 9)
(1, 9)
(4, 8)
(9, 5)
(8, 5)
(5, 7)
(5, 2)
(7, 1)
(0, 6)
(2, 4)
(6, 2)
(1, 2)
(3, 7)
(9, 7)
(4, 6)
(8, 2)
(9, 6)
(5, 3)
(3, 1)
(9, 0)
(5, 6)
(4, 1)
(8, 1)
(9, 8)
(5, 4)
(5, 1)
(3, 8)
(3, 0)
(0, 8)
(4, 0)
(7, 8)
(2, 3)
(3, 6)
(7, 6)
(2, 0)
(2, 7)
(3, 9)
(2, 3)
(4, 2)
(3, 9)
(1, 5)
(6, 2)
(4, 5)
(5, 8)
(8, 9)
(0, 8)
(4, 1)
(3, 5)
(3, 4)
(3, 1)
(7, 3)
(6, 3)
(9, 7)
(9, 6)
(5, 9)
(1, 7)
(9, 2)
(8, 3)
(4, 9)
(0, 4)
(9, 0)
(7, 6)
(9, 1)
(5, 2)
(7, 5)
(8, 4)
(7, 0)
(2, 7)
(7, 4)
(4, 6)
(6, 1)
(0, 3)
(5, 0)
(6, 8)
(2, 8)
(6, 0)
(2, 0)
(8, 1)
(8, 7)
(1, 0)
(1, 2)
(6, 5)
(3, 1)
(1, 2)
(4, 7)
(9, 7)
(5, 2)
(2, 4)
(6, 3)
(6, 8)
(1, 0)
(7, 8)
(0, 2)
(6, 9)
(8, 3)
(3, 5)
(3, 2)
(5, 7)
(9, 8)
(5, 6)
(7, 1)
(6, 2)
(9, 4)
(0, 3)
(0, 7)
(6, 0)
(4, 1)
(1, 6)
(5, 9)
(9, 3)
(5, 0)
(5, 4)
(2, 7)
(1, 8)
(0, 8)
(6, 7)
(7, 3)
(6, 4)
(4, 8)
(8, 2)
(8, 5)
(3, 4)
(9, 1)
(4, 0)
(1, 5)
(2, 9)
(0, 9)
