(1, 7)
(7, 9)
(6, 1)
(6, 5)
(2, 6)
(8, 3)
(2, 8)
(4, 8)
(7, 6)
(4, 1)
(7, 4)
(0, 5)
(5, 4)
(6, 8)
(7, 2)
(5, 2)
(5, 1)
(6, 0)
(9, 8)
(2, 4)
(1, 9)
(1, 3)
(3, 9)
(3, 0)
(4, 0)
(3, 2)
(4, 2)
(1, 2)
(9, 1)
(9, 0)
(5, 2)
(4, 3)
(8, 5)
(7, 4)
(0, 1)
(8, 6)
(3, 1)
(3, 6)
(6, 7)
(5, 4)
(7, 3)
(0, 6)
(2, 6)
(7, 1)
(2, 7)
(6, 9)
(5, 1)
(5, 0)
(5, 9)
(5, 3)
(7, 3)
(1, 4)
(2, 0)
(0, 4)
(2, 3)
(2, 8)
(2, 9)
(9, 4)
(7, 2)
(2, 5)
(5, 9)
(9, 0)
(1, 5)
(4, 2)
(6, 3)
(4, 3)
(0, 5)
(7, 9)
(1, 6)
(4, 5)
(3, 9)
(8, 5)
(3, 5)
(8, 0)
(7, 0)
