(4, 6)
(8, 5)
(7, 3)
(4, 0)
(2, 5)
(7, 8)
(1, 9)
(4, 2)
(7, 2)
(6, 2)
(0, 9)
(5, 7)
(5, 1)
(2, 3)
(2, 6)
(2, 5)
(8, 5)
(5, 3)
(0, 4)
(6, 9)
(1, 4)
(5, 6)
(6, 2)
(7, 2)
(0, 5)
(0, 9)
(2, 9)
(9, 6)
(7, 9)
(6, 0)
(9, 4)
(0, 1)
(7, 1)
(4, 1)
(3, 5)
(3, 2)
(7, 6)
(2, 6)
(4, 2)
(2, 9)
(9, 2)
(8, 1)
(4, 8)
(1, 0)
(9, 7)
(5, 2)
(0, 3)
(4, 2)
(6, 2)
(2, 7)
(4, 9)
(3, 4)
(1, 3)
(6, 5)
(4, 7)
(5, 0)
(6, 7)
(2, 4)
(0, 4)
(6, 2)
(3, 7)
(6, 9)
(3, 4)
(6, 8)
(7, 8)
(9, 8)
(5, 3)
(7, 2)
(9, 4)
(5, 4)
(6, 0)
(5, 6)
(9, 5)
(7, 2)
(9, 7)
(7, 3)
(3, 5)
(8, 4)
(4, 5)
(8, 6)
(2, 8)
(6, 7)
(4, 1)
(1, 2)
(7, 4)
(3, 5)
(1, 9)
(9, 3)
(1, 8)
(8, 3)
(7, 8)
(3, 5)
(2, 1)
(2, 6)
(9, 8)
(4, 2)
(1, 6)
(2, 8)
(8, 1)
(1, 3)
(4, 5)
(9, 6)
(3, 9)
(6, 7)
(2, 5)
(7, 1)
(4, 9)
(3, 7)
(8, 5)
(1, 9)
(1, 6)
(3, 1)
(5, 0)
(7, 0)
(4, 7)
(6, 4)
(4, 8)
(7, 3)
(0, 4)
(9, 4)
(1, 8)
(9, 8)
(2, 7)
(3, 4)
(4, 8)
(0, 9)
(0, 4)
(7, 8)
(9, 1)
(8, 2)
(2, 6)
(1, 2)
(5, 0)
(2, 3)
(5, 3)
(9, 5)
(2, 5)
(5, 1)
(1, 7)
(8, 2)
