(0, 5)
(2, 6)
(2, 4)
(1, 5)
(4, 5)
(3, 8)
(3, 5)
(6, 3)
(2, 5)
(7, 5)
(2, 1)
(8, 5)
(8, 1)
(8, 0)
(3, 1)
(7, 0)
(7, 8)
(9, 6)
(1, 6)
(9, 0)
(6, 5)
(4, 6)
(4, 3)
(0, 2)
(2, 7)
(7, 9)
(7, 6)
(1, 9)
(6, 0)
(0, 4)
(9, 3)
(7, 1)
(6, 7)
(1, 6)
(2, 9)
(8, 5)
(5, 0)
(9, 5)
(8, 7)
(9, 6)
(8, 1)
(2, 1)
(2, 7)
(3, 1)
(7, 5)
(5, 1)
(6, 4)
(2, 0)
(2, 5)
(4, 0)
(6, 2)
(1, 9)
(7, 4)
(6, 5)
(9, 4)
(2, 4)
(8, 4)
(9, 8)
(6, 0)
(2, 8)
(8, 6)
(0, 1)
(8, 1)
(0, 5)
(2, 1)
(6, 4)
(9, 7)
(1, 7)
(9, 6)
(9, 3)
(0, 2)
(6, 3)
(1, 6)
(4, 0)
(3, 7)
(0, 9)
(9, 1)
(4, 2)
(8, 5)
(8, 2)
(2, 7)
(6, 7)
(4, 7)
(6, 5)
(3, 1)
(8, 4)
(1, 4)
(4, 5)
(9, 2)
(0, 6)
